,lat,lon,GEOID,restaurant_count,school_count,park_count,bus_station_count,supermarket_count,pub_count,parkwide_count,restaurantwide_count,intersection_count,streets_per_node_avg,circuity_avg,street_length_avg
0,47.64870058519663,-122.36228608297851,53033005901,10,1,5,3,1,9,10,10,169,3.0,1.034645294456055,31.60654716981132
1,47.52523524818971,-122.3083515864652,53033010900,8,1,0,6,0,0,10,8,21,3.0,1.0616604379746808,43.09166666666668
2,47.69493830615077,-122.30428237763974,53033002100,2,5,2,7,0,2,10,10,71,2.6808510638297878,1.0262173379397257,44.864356521739126
3,47.55874923345728,-122.30856090236372,53033010402,2,4,3,3,1,0,10,10,18,2.142857142857143,1.0523097596810924,47.68335294117646
4,47.61779826524447,-122.35381071042156,53033008003,10,2,10,3,5,10,10,10,341,3.303867403314917,1.0520535774440225,26.141253996447627
5,47.65418608459004,-122.35610298011552,53033004800,10,2,9,3,2,10,10,10,153,3.176470588235294,1.0580626251315044,35.71888399999999
6,47.56349419948231,-122.38143735796116,53033009802,10,7,5,3,4,4,10,10,122,3.130434782608696,1.0400796900977185,35.57229743589743
7,47.52574530634416,-122.4125435234378,53033990100,0,0,0,3,0,0,10,0,0,0.0,0.0,0.0
8,47.69606530976796,-122.2663803425382,53033002200,1,1,1,6,0,0,10,1,0,0.0,0.0,0.0
9,47.65180068710642,-122.26302858849452,53033004101,0,0,2,10,0,0,10,0,0,0.0,0.0,0.0
10,47.65244051398097,-122.2731430413422,53033004101,0,0,5,9,0,0,10,4,2,2.0,1.0000098619968207,6.290749999999999
11,47.662865363828864,-122.26258403717132,53033004101,0,1,2,10,0,0,10,2,0,0.0,0.0,0.0
12,47.5561731122917,-122.29577953137998,53033010401,10,2,5,3,2,5,10,10,46,2.617647058823529,1.1735180778585907,67.24856097560976
13,47.56387881044766,-122.32873676995816,53033009300,4,1,1,3,1,1,10,10,74,3.0,1.057124662605744,34.448904761904764
14,47.669939437978094,-122.42038484794138,53033005700,0,1,1,0,0,0,10,3,15,3.055555555555556,1.0946296460486065,36.591440000000006
15,47.61010681647557,-122.28769535241815,53033007800,10,4,10,6,2,1,10,10,75,3.1645569620253164,1.021007489783348,55.08855963302751
16,47.57771349513813,-122.3071072964886,53033010002,10,1,6,6,3,1,10,10,108,3.3448275862068964,1.0060515509487475,37.040102857142855
17,47.6333220278113,-122.41132507521536,53033005600,2,0,6,1,0,0,10,10,0,0.0,0.0,0.0
18,47.67254736296415,-122.2901824003374,53033004202,10,3,2,8,2,2,10,10,47,3.0535714285714284,1.0013027876049712,76.73338356164383
19,47.542086998626594,-122.29634291965247,53033011002,3,1,5,6,0,0,10,10,84,2.989010989010989,1.022013435485564,51.720508333333335
20,47.62956283825683,-122.4077189498772,53033990100,0,0,4,1,0,0,10,10,0,0.0,0.0,0.0
21,47.62140867071469,-122.39455770418172,53033990100,0,0,0,2,0,0,10,2,0,0.0,0.0,0.0
22,47.67379063075758,-122.38144657196712,53033003301,10,4,7,1,5,10,10,10,227,3.645569620253165,1.009702316325883,35.20401763224181
23,47.67666670691021,-122.29895591664749,53033003800,10,5,5,7,1,0,10,10,38,2.63265306122449,1.0423061849435629,44.99429824561403
24,47.51786894412279,-122.2639349003556,53033011802,5,4,5,6,1,0,10,10,147,3.170886075949367,1.065736781609894,41.49629694323146
25,47.5321390172691,-122.29463556804662,53033011002,0,0,2,6,0,0,10,10,3,2.0,1.026532060790194,68.77279999999999
26,47.5241690830856,-122.36672632129532,53033011402,4,0,2,0,2,0,10,10,97,3.0,1.1088997903057565,43.02601379310346
27,47.66422907030041,-122.34469069887416,53033005000,10,0,7,0,2,0,10,10,106,3.219298245614035,1.0273077270486322,42.1818198757764
28,47.64399228109959,-122.34016603714852,53033005401,10,0,10,0,0,0,10,10,3,2.4,1.169889280891221,35.890750000000004
29,47.5503136305014,-122.3898060962107,53033010602,6,0,2,0,1,0,10,10,35,3.6666666666666665,1.002127184143715,95.7926153846154
30,47.56580101999362,-122.4339048159206,53033990100,0,0,0,0,0,0,7,0,0,0.0,0.0,0.0
31,47.5137784970166,-122.41327787179608,53033990100,0,0,0,0,0,0,10,0,0,0.0,0.0,0.0
32,47.61589253347445,-122.4109046813916,53033990100,0,0,0,0,0,0,6,0,0,0.0,0.0,0.0
33,47.57032455045288,-122.3651671347999,53033009900,3,0,3,0,0,0,10,6,75,3.0,1.0539107584839842,34.38426666666666
34,47.60706581866284,-122.24041020596448,53033024302,0,0,1,0,0,0,10,1,0,0.0,0.0,0.0
35,47.59511008398107,-122.40404622509836,53033990100,0,0,0,3,0,0,10,0,0,0.0,0.0,0.0
36,47.57984019420863,-122.3303658815,53033009300,9,1,1,4,2,0,10,10,93,2.7815126050420167,1.0717639495216431,36.7866012658228
37,47.65891211350889,-122.25222523851772,53033004101,0,0,0,10,0,0,8,0,0,0.0,0.0,0.0
38,47.5649860023896,-122.36741161314576,53033009900,6,2,5,3,0,1,10,10,118,2.964028776978417,1.0293487714348724,43.08111702127661
39,47.63864698451231,-122.32679653856322,53033006600,10,5,0,4,0,0,10,10,230,3.318548387096774,1.0108934782524155,29.01248979591836
40,47.68495197913197,-122.27660886505336,53033002200,1,3,0,7,1,0,10,4,19,3.473684210526316,1.0152436899796382,48.92654166666667
41,47.56029866741865,-122.42230719131392,53033990100,0,0,0,3,0,0,9,1,0,0.0,0.0,0.0
42,47.649744426199085,-122.41476398556703,53033005600,0,0,0,1,0,0,10,2,31,2.0689655172413794,1.057488081620945,29.84701754385964
