state,county,tract,block group,NAME,B01001_001E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E
53,033,022001,2,"Block Group 2, Census Tract 220.01, King County, Washington",2955,42,74,48,13,76,66,9,57,72,41,137,349
53,033,022001,1,"Block Group 1, Census Tract 220.01, King County, Washington",1155,0,47,0,0,0,15,0,47,0,0,3,15
53,033,020500,5,"Block Group 5, Census Tract 205, King County, Washington",1383,0,0,0,6,0,0,7,0,0,15,23,37
53,033,020500,6,"Block Group 6, Census Tract 205, King County, Washington",794,42,23,0,0,0,25,25,0,0,0,0,0
53,033,020500,1,"Block Group 1, Census Tract 205, King County, Washington",1840,17,75,28,17,0,22,63,104,68,58,0,66
53,033,020500,2,"Block Group 2, Census Tract 205, King County, Washington",819,0,21,0,0,0,0,0,20,0,0,19,0
53,033,032003,4,"Block Group 4, Census Tract 320.03, King County, Washington",1176,0,0,9,8,16,0,0,78,0,16,16,11
53,033,032003,3,"Block Group 3, Census Tract 320.03, King County, Washington",1148,18,19,16,0,18,8,30,16,9,8,0,0
53,033,032007,3,"Block Group 3, Census Tract 320.07, King County, Washington",815,13,0,6,11,0,18,0,6,41,0,0,27
53,033,032007,2,"Block Group 2, Census Tract 320.07, King County, Washington",1726,7,22,8,9,7,54,0,30,48,0,7,0
53,033,032311,3,"Block Group 3, Census Tract 323.11, King County, Washington",1195,0,52,36,25,0,0,53,33,0,0,29,19
53,033,032311,4,"Block Group 4, Census Tract 323.11, King County, Washington",1246,13,84,0,0,41,0,42,0,13,0,38,0
53,033,032311,1,"Block Group 1, Census Tract 323.11, King County, Washington",959,46,0,43,0,0,0,48,19,0,0,0,0
53,033,011500,1,"Block Group 1, Census Tract 115, King County, Washington",1766,32,24,7,7,0,8,44,17,23,9,6,8
53,033,007500,4,"Block Group 4, Census Tract 75, King County, Washington",2819,0,0,0,0,0,0,0,0,0,0,0,0
53,033,007500,2,"Block Group 2, Census Tract 75, King County, Washington",1442,0,0,0,0,0,0,0,0,0,0,0,0
53,033,007500,3,"Block Group 3, Census Tract 75, King County, Washington",1796,0,0,0,0,0,52,0,0,0,29,0,30
53,033,031301,1,"Block Group 1, Census Tract 313.01, King County, Washington",1463,36,14,13,24,13,6,5,19,27,19,25,9
53,033,031301,2,"Block Group 2, Census Tract 313.01, King County, Washington",1102,8,39,61,30,7,7,13,39,61,28,0,16
53,033,008001,3,"Block Group 3, Census Tract 80.01, King County, Washington",1291,9,20,30,0,0,0,10,20,0,0,0,0
53,033,008100,1,"Block Group 1, Census Tract 81, King County, Washington",2092,0,48,15,15,18,0,68,35,33,17,0,0
53,033,008100,2,"Block Group 2, Census Tract 81, King County, Washington",1571,32,0,32,8,13,2,37,15,44,0,0,6
53,033,008600,2,"Block Group 2, Census Tract 86, King County, Washington",2660,0,0,0,0,0,0,0,0,0,0,0,0
53,033,008600,3,"Block Group 3, Census Tract 86, King County, Washington",1327,0,0,0,0,0,0,0,0,19,0,0,0
53,033,010800,1,"Block Group 1, Census Tract 108, King County, Washington",1244,16,8,54,10,0,1,9,47,93,1,1,1
53,033,010800,2,"Block Group 2, Census Tract 108, King County, Washington",1305,27,17,0,30,0,40,0,0,41,0,0,0
53,033,010800,3,"Block Group 3, Census Tract 108, King County, Washington",2353,22,11,8,28,15,0,0,36,0,70,0,0
53,033,011200,3,"Block Group 3, Census Tract 112, King County, Washington",1512,14,99,3,4,7,10,10,0,0,0,13,28
53,033,011200,2,"Block Group 2, Census Tract 112, King County, Washington",1023,1,34,52,0,28,10,10,0,32,0,0,8
